ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
2,111,375,243,111,2,3,42,80,0,0
3,104,375,106,104,10,18,168,384,0,0
3,104,375,109,108,13,19,63,414,0,0
4,104,375,112,107,17,20,147,433,0,0
5,104,375,107,108,30,29,273,623,0,0
5,104,375,111,109,34,25,84,525,0,0
5,104,375,112,110,43,35,273,747,0,0
5,104,375,110,107,51,37,441,784,0,0
6,104,375,109,107,69,42,819,883,0,0
6,104,375,112,110,73,26,84,560,0,0
7,104,375,116,111,84,41,315,875,0,0
8,104,375,111,109,106,49,462,1033,0,0
8,104,375,113,113,113,48,147,1020,0,0
9,104,375,117,120,121,57,315,1197,0,0
10,104,375,146,109,143,47,462,991,0,0
10,104,375,111,108,148,37,105,783,0,0
10,104,375,116,113,166,62,483,1308,0,0
10,104,375,114,115,183,72,840,1513,0,0
11,104,375,115,115,217,78,1554,1639,0,0
11,104,375,117,117,221,25,84,535,0,0
12,104,375,117,111,242,68,525,1438,0,0
12,104,375,113,117,260,68,378,1431,0,0
13,104,375,119,112,278,78,756,1650,0,0
13,104,375,121,115,282,26,84,563,0,0
14,104,375,124,129,303,68,525,1434,0,0
15,104,375,117,112,345,89,882,1876,0,0
15,104,375,113,111,351,40,126,840,0,0
15,104,375,115,117,370,78,525,1650,0,0
15,104,375,131,151,396,89,1071,1878,0,0
16,104,375,127,117,442,103,2037,2169,0,0
16,104,375,113,113,448,35,126,741,0,0
17,104,375,117,112,473,91,651,1926,0,0
18,104,375,139,119,515,89,882,1888,0,0
18,104,375,119,117,523,47,168,1000,0,0
19,104,375,121,113,552,101,777,2128,0,0
20,104,375,181,114,587,76,735,1615,0,0
20,104,375,117,119,600,75,273,1578,0,0
20,104,375,118,116,630,118,903,2480,0,0
20,104,375,119,119,656,130,1449,2744,0,0
21,104,375,143,146,712,128,2625,2700,0,0
21,104,375,120,120,713,8,21,173,0,0
22,104,375,201,114,737,66,525,1403,0,0
22,104,375,155,179,756,73,399,1540,0,0
23,104,375,179,213,777,84,840,1783,0,0
23,104,375,119,121,789,71,252,1491,0,0
24,104,375,119,120,824,128,987,2704,0,0
24,104,375,186,227,838,54,294,1152,0,0
24,104,375,212,218,855,65,651,1382,0,0
24,104,375,167,145,902,124,1638,2616,0,0
25,104,375,149,116,950,144,2646,3041,0,0
26,104,375,173,124,986,82,756,1729,0,0
26,104,375,129,126,988,11,42,245,0,0
27,104,375,133,178,1035,131,1029,2766,0,0
28,104,375,158,116,1094,129,1239,2717,0,0
28,104,375,122,122,1106,74,252,1555,0,0
29,104,375,161,219,1127,90,693,1893,0,0
29,104,375,129,130,1195,144,1428,3025,0,0
29,104,375,130,136,1225,158,2058,3324,0,0
30,104,375,149,253,1247,142,2520,2989,0,0
30,104,375,139,132,1259,54,252,1140,0,0
31,104,375,127,118,1311,140,1344,2940,0,0
32,104,375,239,266,1333,74,462,1571,0,0
32,104,375,142,116,1339,22,126,480,0,0
33,104,375,132,293,1388,118,1155,2494,0,0
34,104,375,237,241,1403,42,315,887,0,0
34,104,375,134,138,1432,123,609,2602,0,0
34,104,375,144,224,1465,135,1302,2836,0,0
34,104,375,162,252,1490,140,1827,2946,0,0
35,104,379,192,128,1532,149,2709,3131,0,0
35,104,379,130,124,1554,92,462,1949,0,0
36,104,379,180,242,1577,99,945,2081,0,0
37,104,379,140,140,1610,101,693,2125,0,0
37,104,379,128,121,1623,71,273,1500,0,0
38,104,379,197,249,1652,101,882,2130,0,0
38,104,379,144,153,1660,50,168,1056,0,0
39,104,379,160,168,1692,126,840,2666,0,0
39,104,379,134,125,1698,36,126,773,0,0
39,104,379,229,293,1725,83,693,1750,0,0
39,104,379,253,159,1772,122,1680,2564,0,0
40,104,379,220,176,1814,141,2562,2979,0,0
40,104,379,209,241,1827,50,273,1054,0,0
41,104,412,264,236,1851,82,777,1722,0,0
42,104,412,251,310,1876,73,525,1539,0,0
43,104,412,276,343,1911,76,735,1615,0,0
44,104,412,172,143,1951,113,840,2379,0,0
44,104,412,291,349,1976,55,525,1174,0,0
44,104,412,302,241,1999,80,1008,1691,0,0
45,104,463,257,147,2063,131,2352,2763,0,0
45,104,463,151,142,2070,32,147,680,0,0
46,104,463,222,250,2102,86,819,1820,0,0
47,104,463,185,162,2142,111,840,2339,0,0
47,104,463,164,190,2151,47,189,989,0,0
48,104,463,216,256,2182,95,840,1995,0,0
48,104,463,175,144,2229,145,987,3065,0,0
48,104,463,181,160,2297,196,2415,4135,0,0
50,104,463,230,170,2314,53,357,1122,0,0
50,104,463,173,149,2360,144,966,3028,0,0
52,104,463,324,256,2378,42,378,897,0,0
52,104,463,198,159,2419,131,861,2759,0,0
53,104,463,333,358,2446,69,567,1450,0,0
53,104,493,272,140,2556,157,2877,3299,0,0
54,104,493,247,247,2557,3,21,83,0,0
55,104,493,342,354,2588,68,672,1435,0,0
55,104,493,236,139,2606,48,378,1018,0,0
56,104,493,247,247,2620,53,294,1130,0,0
57,104,493,248,251,2654,124,1008,2611,0,0
58,104,493,248,250,2659,18,105,397,0,0
58,104,493,311,321,2675,45,441,952,0,0
58,104,493,311,333,2770,133,2436,2809,0,0
60,104,493,409,280,2774,8,84,183,0,0
61,104,493,229,240,2806,89,672,1887,0,0
62,104,493,270,284,2826,52,420,1099,0,0
63,104,493,242,243,2879,114,1113,2403,0,0
63,104,493,247,281,2913,141,1827,2980,0,0
64,104,493,262,318,2949,146,2583,3086,0,0
66,104,493,292,249,2968,51,399,1090,0,0
67,104,493,276,278,3005,92,777,1937,0,0
68,104,501,303,265,3058,83,1113,1763,0,0
69,104,501,287,252,3111,125,2226,2631,0,0
72,104,501,285,303,3158,100,987,2113,0,0
72,104,501,321,276,3222,113,1344,2387,0,0
72,104,501,319,304,3229,124,1491,2606,0,0
73,104,501,350,380,3253,106,1995,2231,0,0
75,104,501,324,386,3278,56,525,1185,0,0
76,104,501,252,233,3295,50,357,1059,0,0
78,104,659,510,542,3343,49,1008,1037,0,0
79,104,659,272,240,3350,19,147,412,0,0
80,104,659,335,309,3398,101,1008,2140,0,0
82,104,659,301,248,3442,85,924,1801,0,0
82,104,659,297,279,3511,146,2373,3081,0,0
83,104,659,302,347,3554,161,3276,3384,0,0
87,104,659,303,254,3635,144,1701,3026,0,0
87,104,659,310,376,3673,157,2499,3301,0,0
88,104,659,314,288,3730,185,3696,3886,0,0
92,104,659,314,322,3770,87,840,1842,0,0
92,104,659,341,357,3821,91,1071,1915,0,0
92,104,659,375,399,3852,116,1722,2449,0,0
93,104,659,396,495,3862,99,1932,2088,0,0
96,104,659,230,230,3863,4,21,85,0,0
96,104,659,326,360,3908,99,966,2095,0,0
96,104,659,334,323,3962,156,2100,3291,0,0
97,104,659,341,398,4011,170,3129,3588,0,0
